round,client_id,mec_id,uplink_mbps,latency_ms,packet_loss,handover
1,0,1,0.33664,30.0125,0,0
1,1,2,0.33664,30.0306,0,0
1,2,3,0.25248,30.031,0,0
1,3,1,0.25248,30.0307,0,0
1,4,2,0.25248,30.0313,0,0
1,5,3,0.25248,30.031,0,0
1,6,1,0.16832,30.0313,0,0
1,7,2,0.16832,30.0317,0,0
1,8,3,0.16832,30.0313,0,0
1,9,1,0.16832,29.7098,0,0
1,10,2,0.08416,30.0304,0,0
1,11,3,0.08416,30.0304,0,0
1,12,1,0.08416,30.0321,0,0
1,13,2,0.08416,29.959,0,0
1,14,3,0.08416,29.959,0,0
1,15,1,0,0,0,0
1,16,2,0,0,0,0
1,17,3,0,0,0,0
1,18,1,0,0,0,0
1,19,2,0,0,0,0
2,0,1,0.4208,29.4306,0,0
2,1,2,0.4208,30.0306,0,0
2,2,3,0.4208,30.0321,0,0
2,3,1,0.4208,29.9595,0,0
2,4,2,0.4208,29.4591,0,0
2,5,3,0.4208,30.0314,0,0
2,6,1,0.4208,30.0313,0,0
2,7,2,0.4208,27.4316,0,0
2,8,3,0.4208,30.0306,0,0
2,9,1,0.4208,30.0318,0,0
2,10,2,0.4208,30.0304,0,0
2,11,3,0.4208,30.0304,0,0
2,12,1,0.4208,29.5018,0,0
2,13,2,0.4208,29.6733,0,0
2,14,3,0.4208,29.959,0,0
2,15,1,0.4208,30.0314,0,0
2,16,2,0.4208,30.0166,0,0
2,17,3,0.4208,29.9591,0,0
2,18,1,0.4208,29.3875,0,0
2,19,2,0.33664,29.9592,0,0
3,0,1,0.4208,29.3879,0,0
3,1,2,0.4208,30.0304,0,0
3,2,3,0.4208,30.0321,0,0
3,3,1,0.4208,29.9598,0,0
3,4,2,0.4208,29.3161,0,0
3,5,3,0.4208,30.0313,0,0
3,6,1,0.4208,30.0313,0,0
3,7,2,0.4208,30.0321,0,0
3,8,3,0.4208,30.0304,0,0
3,9,1,0.4208,30.0321,0,0
3,10,2,0.4208,30.0304,0,0
3,11,3,0.4208,30.0304,0,0
3,12,1,0.4208,29.459,0,0
3,13,2,0.4208,29.5733,0,0
3,14,3,0.4208,29.959,0,0
3,15,1,0.4208,30.0313,0,0
3,16,2,0.4208,30.0313,0,0
3,17,3,0.4208,29.959,0,0
3,18,1,0.4208,29.3875,0,0
3,19,2,0.4208,29.959,0,0
4,0,3,0.33664,24.8701,0,1
4,1,3,0.33664,29.9768,0,1
4,2,3,0.50496,29.8167,0,0
4,3,2,0.25248,29.8646,0,1
4,4,2,0.4208,29.745,0,0
4,5,1,0.33664,30.0313,0,1
4,6,2,0.4208,25.96,0,1
4,7,3,0.33664,25.0317,0,1
4,8,3,0.4208,30.0165,0,0
4,9,3,0.4208,21.9168,0,1
4,10,3,0.4208,30.0018,0,1
4,11,1,0.33664,25.0315,0,1
4,12,2,0.33664,24.8346,0,1
4,13,3,0.33664,29.7268,0,1
4,14,1,0.25248,29.9831,0,1
4,15,2,0.25248,29.8878,0,1
4,16,2,0.4208,29.9879,0,0
4,17,2,0.4208,21.7306,0,1
4,18,3,0.33664,24.7281,0,1
4,19,3,0.33664,24.9235,0,1
5,0,3,0.4208,10.0304,0,0
5,1,3,0.4208,29.8875,0,0
5,2,3,0.4208,29.7018,0,0
5,3,2,0.4208,30.0321,0,0
5,4,2,0.4208,30.0313,0,0
5,5,1,0.4208,30.0304,0,0
5,6,2,0.4208,10.0161,0,0
5,7,3,0.4208,10.0304,0,0
5,8,3,0.4208,29.959,0,0
5,9,3,0.4208,9.95897,0,0
5,10,3,0.4208,29.9591,0,0
5,11,1,0.4208,10.0313,0,0
5,12,2,0.4208,9.88754,0,0
5,13,3,0.4208,30.0313,0,0
5,14,1,0.4208,30.032,0,0
5,15,2,0.4208,29.959,0,0
5,16,2,0.4208,29.9598,0,0
5,17,2,0.4208,13.6734,0,0
5,18,3,0.4208,10.0311,0,0
5,19,3,0.4208,9.88754,0,0
6,0,3,0.4208,10.0304,0,0
6,1,3,0.4208,29.8875,0,0
6,2,3,0.4208,29.6875,0,0
6,3,2,0.4208,30.0321,0,0
6,4,2,0.4208,30.0313,0,0
